user_id,fitness_level,goal,duration_range,equipment,height,weight,bmi_category,limitations
user_0,beginner,warm-up,10-20,kettlebell,167.7,66.5,normal,"[np.str_('knee_pain'), np.str_('pregnancy')]"
user_1,beginner,warm-up,10-20,kettlebell,145.6,79.1,obese,"[np.str_('knee_pain'), np.str_('back_pain')]"
user_2,intermediate,endurance,10-20,none,164.0,65.6,normal,[]
user_3,intermediate,endurance,10-20,none,167.7,75.8,overweight,[]
user_4,beginner,power,10-20,none,177.4,72.6,normal,[np.str_('shoulder_injury')]
user_5,intermediate,power,20+,kettlebell,160.5,54.3,normal,[np.str_('back_pain')]
user_6,beginner,power,10-20,kettlebell,172.1,79.0,overweight,[]
user_7,pro,endurance,5-10,none,182.1,88.5,overweight,[]
user_8,beginner,power,10-20,gym,174.7,81.0,overweight,[]
user_9,beginner,endurance,10-20,none,156.2,65.8,overweight,[]
user_10,intermediate,power,10-20,none,178.7,104.3,obese,[]
user_11,pro,power,10-20,gym,155.3,83.4,obese,"[np.str_('shoulder_injury'), np.str_('knee_pain')]"
user_12,beginner,endurance,10-20,gym,178.5,50.3,underweight,[np.str_('asthma')]
user_13,intermediate,endurance,5-10,none,173.0,48.1,underweight,[]
user_14,beginner,endurance,5-10,kettlebell,162.4,76.9,overweight,[]
user_15,beginner,warm-up,10-20,none,182.4,48.6,underweight,[]
user_16,intermediate,endurance,10-20,kettlebell,167.9,59.7,normal,[]
user_17,pro,endurance,20+,none,175.1,78.2,overweight,[np.str_('knee_pain')]
user_18,beginner,power,5-10,kettlebell,175.4,56.3,underweight,[]
user_19,pro,endurance,10-20,none,178.1,51.5,underweight,[]
user_20,intermediate,power,5-10,none,155.6,87.9,obese,[]
user_21,intermediate,warm-up,20+,gym,163.2,73.5,overweight,"[np.str_('asthma'), np.str_('knee_pain')]"
user_22,intermediate,endurance,5-10,kettlebell,180.5,89.9,overweight,[]
user_23,intermediate,endurance,10-20,gym,179.6,76.2,normal,[]
user_24,intermediate,endurance,10-20,none,178.8,66.4,normal,[]
user_25,intermediate,power,10-20,kettlebell,176.3,57.1,underweight,[]
user_26,beginner,power,5-10,gym,168.8,81.1,overweight,[]
user_27,pro,warm-up,5-10,none,165.5,82.8,obese,[np.str_('knee_pain')]
user_28,beginner,power,10-20,none,159.7,52.3,normal,[]
user_29,beginner,power,10-20,none,154.5,62.3,overweight,[]
user_30,beginner,endurance,10-20,none,168.3,59.7,normal,[np.str_('pregnancy')]
user_31,beginner,endurance,10-20,none,165.9,71.2,overweight,"[np.str_('joint_problems'), np.str_('back_pain')]"
