planName,skillLevel,goal,equipment,durationMinutes,focus,exercises,exerciseDetails
Intermediate Endurance - 5-10 minutes (Gym),Intermediate,Endurance,Gym,4,Endurance,High Knees;Battle Ropes,"[{""name"": ""High Knees"", ""duration"": 80, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Battle Ropes"", ""duration"": 47, ""sets"": 3, ""rest"": 30, ""category"": ""stamina""}]"
Pro Power - 20+ minutes (None),Pro,Power,None,24,Power,Jumping Jacks;Leg Swings;High Knees;Jump Squats;Tuck Jumps;Broad Jumps,"[{""name"": ""Jumping Jacks"", ""duration"": 114, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Leg Swings"", ""duration"": 102, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""High Knees"", ""duration"": 97, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Jump Squats"", ""duration"": 52, ""sets"": 4, ""rest"": 24, ""category"": ""power""}, {""name"": ""Tuck Jumps"", ""duration"": 62, ""sets"": 4, ""rest"": 24, ""category"": ""power""}, {""name"": ""Broad Jumps"", ""duration"": 110, ""sets"": 4, ""rest"": 24, ""category"": ""power""}]"
Beginner Endurance - 10-20 minutes (None),Beginner,Endurance,None,16,Endurance,High Knees;Jumping Jacks;Butt Kicks;Shuttle Runs;Jogging,"[{""name"": ""High Knees"", ""duration"": 56, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Jumping Jacks"", ""duration"": 56, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Butt Kicks"", ""duration"": 58, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Shuttle Runs"", ""duration"": 143, ""sets"": 2, ""rest"": 39, ""category"": ""stamina""}, {""name"": ""Jogging"", ""duration"": 200, ""sets"": 2, ""rest"": 26, ""category"": ""endurance""}]"
Pro Power - 10-20 minutes (None),Pro,Power,None,15,Power,High Knees;Arm Circles;Plyometric Push-ups;Jump Squats;Broad Jumps,"[{""name"": ""High Knees"", ""duration"": 110, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Arm Circles"", ""duration"": 88, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Plyometric Push-ups"", ""duration"": 76, ""sets"": 3, ""rest"": 24, ""category"": ""power""}, {""name"": ""Jump Squats"", ""duration"": 62, ""sets"": 3, ""rest"": 24, ""category"": ""power""}, {""name"": ""Broad Jumps"", ""duration"": 53, ""sets"": 3, ""rest"": 24, ""category"": ""power""}]"
Intermediate Stamina - 20+ minutes (Kettlebell),Intermediate,Stamina,Kettlebell,14,Stamina,Leg Swings;High Knees;Jumping Jacks;Jump Squats;Broad Jumps;Explosive Lunges,"[{""name"": ""Leg Swings"", ""duration"": 67, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""High Knees"", ""duration"": 90, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Jumping Jacks"", ""duration"": 71, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Jump Squats"", ""duration"": 37, ""sets"": 2, ""rest"": 30, ""category"": ""power""}, {""name"": ""Broad Jumps"", ""duration"": 39, ""sets"": 2, ""rest"": 30, ""category"": ""power""}, {""name"": ""Explosive Lunges"", ""duration"": 110, ""sets"": 3, ""rest"": 30, ""category"": ""power""}]"
Intermediate Power - 5-10 minutes (Gym),Intermediate,Power,Gym,6,Power,Butt Kicks;Jumping Jacks;Tuck Jumps,"[{""name"": ""Butt Kicks"", ""duration"": 58, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Jumping Jacks"", ""duration"": 98, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Tuck Jumps"", ""duration"": 30, ""sets"": 4, ""rest"": 30, ""category"": ""power""}]"
Intermediate Stamina - 5-10 minutes (Gym),Intermediate,Stamina,Gym,7,Stamina,Jumping Jacks;Kettlebell Swings,"[{""name"": ""Jumping Jacks"", ""duration"": 67, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Kettlebell Swings"", ""duration"": 108, ""sets"": 3, ""rest"": 30, ""category"": ""power""}]"
Pro Fat Loss - 20+ minutes (Kettlebell),Pro,Fat Loss,Kettlebell,27,Fat Loss,Jumping Jacks;Butt Kicks;High Knees;Plyometric Push-ups;Mountain Climbers;Kettlebell HIIT;Burpees,"[{""name"": ""Jumping Jacks"", ""duration"": 83, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Butt Kicks"", ""duration"": 117, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""High Knees"", ""duration"": 101, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Plyometric Push-ups"", ""duration"": 55, ""sets"": 2, ""rest"": 24, ""category"": ""power""}, {""name"": ""Mountain Climbers"", ""duration"": 81, ""sets"": 3, ""rest"": 24, ""category"": ""stamina""}, {""name"": ""Kettlebell HIIT"", ""duration"": 159, ""sets"": 2, ""rest"": 24, ""category"": ""fatloss""}, {""name"": ""Burpees"", ""duration"": 118, ""sets"": 4, ""rest"": 24, ""category"": ""power""}]"
Pro Endurance - 20+ minutes (Kettlebell),Pro,Endurance,Kettlebell,27,Endurance,Jumping Jacks;High Knees;Circuit Training,"[{""name"": ""Jumping Jacks"", ""duration"": 143, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""High Knees"", ""duration"": 101, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Circuit Training"", ""duration"": 672, ""sets"": 2, ""rest"": 24, ""category"": ""stamina""}]"
Intermediate Endurance - 5-10 minutes (Gym),Intermediate,Endurance,Gym,6,Endurance,Arm Circles;Battle Ropes,"[{""name"": ""Arm Circles"", ""duration"": 74, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Battle Ropes"", ""duration"": 87, ""sets"": 3, ""rest"": 30, ""category"": ""stamina""}]"
